actual,oof_predictions,meta_predictions,oof_residuals,meta_residuals
435859.0,1453071.5,1374659.868614737,-1017212.5,-938800.868614737
545903.0,1146267.625,1084970.9106563332,-600364.625,-539067.9106563332
588416.0,1097586.0,1026780.969924583,-509170.0,-438364.969924583
586368.0,1414740.625,1342503.5155022105,-828372.625,-756135.5155022105
17870115.0,16962552.0,18386560.018888272,907563.0,-516445.01888827235
2978118.0,4540359.5,4429152.871580674,-1562241.5,-1451034.8715806743
715691.0,991701.5625,922314.5621228919,-276010.5625,-206623.5621228919
66548360.0,11774720.0,12309679.733855855,54773640.0,54238680.26614414
1287769.0,1907758.5,1816137.4729282246,-619989.5,-528368.4729282246
1902590.0,1904788.0,1851099.470174534,-2198.0,51490.52982546599
760590.0,796379.5625,735864.653860864,-35789.5625,24725.346139136003
2607258.0,2498413.5,2449712.138917337,108844.5,157545.86108266283
2617668.0,2599475.5,2551095.5003321506,18192.5,66572.49966784939
2549486.0,2517511.75,2449867.1665403354,31974.25,99618.8334596646
2617465.0,2736235.5,2679707.4743590755,-118770.5,-62242.47435907554
2621950.0,2546861.75,2488527.004409846,75088.25,133422.99559015408
2785313.0,2630561.25,2572604.7365525467,154751.75,212708.26344745327
2781046.0,2482076.5,2392352.158356582,298969.5,388693.8416434182
2732386.0,2299686.75,2205164.8053067336,432699.25,527221.1946932664
2807665.0,2652275.5,2571269.467578999,155389.5,236395.53242100077
1990790.0,2126974.25,2053628.107071723,-136184.25,-62838.10707172309
7697066.0,10200010.0,10449665.654024897,-2502944.0,-2752599.654024897
7665897.0,9784122.0,10016877.871820983,-2118225.0,-2350980.8718209825
7616515.0,9757639.0,9973617.596892169,-2141124.0,-2357102.5968921687
7931531.0,10619166.0,10932545.555542557,-2687635.0,-3001014.5555425566
8418213.0,10221745.0,10488703.226712065,-1803532.0,-2070490.2267120648
8748779.0,10613152.0,10837075.572982356,-1864373.0,-2088296.572982356
9342370.0,10829809.0,11029188.210025167,-1487439.0,-1686818.210025167
9649485.0,10538055.0,10697584.683765158,-888570.0,-1048099.683765158
10224100.0,9214537.0,9271809.553889537,1009563.0,952290.4461104628
9833991.0,9499316.0,9626354.547746519,334675.0,207636.45225348137
10850917.0,9934390.0,10080347.418266749,916527.0,770569.581733251
11382773.0,9400885.0,9494750.809615925,1981888.0,1888022.190384075
12233335.0,9400885.0,9489825.687169071,2832450.0,2743509.3128309287
12679225.0,9242947.0,9288843.017090067,3436278.0,3390381.9829099327
13440328.0,9242947.0,9297625.25532782,4197381.0,4142702.744672179
14194660.0,9216664.0,9301747.207693182,4977996.0,4892912.792306818
14753867.0,11127029.0,11299265.608930092,3626838.0,3454601.3910699077
15093839.0,9907728.0,10017896.409188557,5186111.0,5075942.590811443
15843767.0,12532977.0,12803710.833079208,3310790.0,3040056.1669207923
16817937.0,10594384.0,10652043.346701149,6223553.0,6165893.653298851
4350844.0,12532977.0,12786989.454627257,-8182133.0,-8436145.454627257
